MatchId,Player1,Player2,Deck1,Deck2,Winner,Turns,WinReason,DNF
Match-44,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,10,AllOpponentsLost,false
Match-6,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,24,AllOpponentsLost,false
Match-53,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,8,AllOpponentsLost,false
Match-46,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,10,AllOpponentsLost,false
Match-47,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,11,AllOpponentsLost,false
Match-52,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,9,AllOpponentsLost,false
Match-48,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,12,AllOpponentsLost,false
Match-56,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,9,AllOpponentsLost,false
Match-51,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,11,AllOpponentsLost,false
Match-50,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,11,AllOpponentsLost,false
Match-49,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,12,AllOpponentsLost,false
Match-43,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,18,AllOpponentsLost,false
Match-55,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,12,AllOpponentsLost,false
Match-54,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,11,AllOpponentsLost,false
Match-57,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,10,AllOpponentsLost,false
Match-59,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,11,AllOpponentsLost,false
Match-60,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,12,AllOpponentsLost,false
Match-62,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,10,AllOpponentsLost,false
Match-61,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,11,AllOpponentsLost,false
Match-65,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,9,AllOpponentsLost,false
Match-66,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,8,AllOpponentsLost,false
Match-64,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,10,AllOpponentsLost,false
Match-68,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,10,AllOpponentsLost,false
Match-63,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,14,AllOpponentsLost,false
Match-58,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,13,AllOpponentsLost,false
Match-69,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,11,AllOpponentsLost,false
Match-70,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,9,AllOpponentsLost,false
Match-71,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,10,AllOpponentsLost,false
Match-76,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,9,AllOpponentsLost,false
Match-73,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,9,AllOpponentsLost,false
Match-72,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,11,AllOpponentsLost,false
Match-67,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,14,AllOpponentsLost,false
Match-75,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,12,AllOpponentsLost,false
Match-77,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,11,AllOpponentsLost,false
Match-80,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,9,AllOpponentsLost,false
Match-79,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,12,AllOpponentsLost,false
Match-78,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,11,AllOpponentsLost,false
Match-81,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,8,AllOpponentsLost,false
Match-87,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,8,AllOpponentsLost,false
Match-82,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,9,AllOpponentsLost,false
Match-84,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,9,AllOpponentsLost,false
Match-83,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,9,AllOpponentsLost,false
Match-85,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,9,AllOpponentsLost,false
Match-89,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,10,AllOpponentsLost,false
Match-93,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,8,AllOpponentsLost,false
Match-90,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,9,AllOpponentsLost,false
Match-74,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,16,AllOpponentsLost,false
Match-92,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,9,AllOpponentsLost,false
Match-99,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,7,AllOpponentsLost,false
Match-98,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,8,AllOpponentsLost,false
Match-95,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,10,AllOpponentsLost,false
Match-97,Ai-1-Deck_999,Unknown,C:\Users\Matt\IdeaProjects\decks\Deck_998.dck,C:\Users\Matt\IdeaProjects\decks\Deck_999.dck,Ai-1-Deck_999,9,AllOpponentsLost,false
